Branch,Name,Coordinates
US Navy Base,OLF Coupeville,"-122.633171,48.193785,0"
US Navy Base,NAS Whidbey Island,"-122.659607,48.343928,0"
US Army Base,Schofield Barracks Mil Reservation,"-158.101408,21.503636,0"
US Army Base,Wheeler Army Airfield,"-158.036957,21.476393,0"
US Army Base,Schofield Firing Range,"-157.978592,21.518559,0"
US Army Base,Makua Military Reserve,"-158.203468,21.529578,0"
US Army Base,Kahuka Trn Area,"-158.007431,21.655514,0"
US Marine Base,MCB Hawaii Kanohe,"-157.767105,21.448915,0"
US Army Base,Tripler Army Medical Center,"-157.892418,21.36453,0"
US Army Base,Fort Shafter,"-157.877655,21.353979,0"
US Air Force Base,Hickam AFB,"-157.94838,21.328076,0"
US Navy Base,Naval Station Pearl Harbor,"-157.955074,21.35238,0"
US Air Force Base,Andersen AFB,"144.929323,13.581003,0"
US Navy Base,NAVBASE Guam,"144.652176,13.428693,0"
US Air Force Base,Andersen Administrative Annex,"144.864864,13.507656,0"
US Army Base,Pohakuloa Training Area,"-155.553603,19.76,0"
US Army Base,PACMISRANFAC Hawaiin Area,"-159.784126,22.029956,0"
US Army Base,Fort Buchanan,"-66.125443,18.412317,0"
US Navy Base,NAVACT Puerto Rico,"-65.646057,18.234569,0"
US Army Base,MTA Camp Santiago Rq577,"-66.276054,18.02216,0"
US Army Base,Fort Allen,"-66.497497,18.004203,0"
US Air Force Base,Luis Munoz Marin IAP,"-65.996246,18.439879,0"
US Army Base,Fort Wainwright,"-147.613678,64.832882,0"
US Air Force Base,Eielson AFB,"-147.050629,64.657991,0"
US Air Force Base,Chena River Research Site,"-147.919922,64.83259,0"
US Air Force Base,Clear AFS,"-149.179917,64.290953,0"
US Army Base,Fort Greely,"-146.282959,63.857616,0"
US Army Base,Donnelly Training Area,"-145.733261,64.038147,0"
US Air Force Base,Blair Lake Air Force Range,"-147.713776,64.838249,0"
US Air Force Base,Elmendorf AFB,"-149.792404,61.259999,0"
US Army Base,Fort Richardson,"-149.623489,61.256698,0"
,Ted Stevens IAP,"-149.981017,61.173915,0"
US Air Force Base,Haarp Research Station,"-148.886719,61.835413,0"
US Air Force Base,Fort Yukon LRRS,"-145.273889,66.564722,0"
US Air Force Base,Campion AFS,"-156.933,64.733,0"
US Air Force Base,Tatlina LRRS,"-155.691376,62.983308,0"
US Air Force Base,Sparrevohn LRRS,"-155.343933,61.197536,0"
US Air Force Base,Cape Romanzof LRRS,"-166.15448,61.624023,0"
US Air Force Base,King Salmon Airport,"-156.652074,58.675645,0"
US Air Force Base,Eareckson AS,"174.11361,52.712261,0"
US Air Force Base,Cape Newenham LRRS,"-162.061065,58.639394,0"
US Air Force Base,Cape Lisburne LRRS,"-166.80806,68.347778,0"
US Air Force Base,Point Lay LRRS,"-162.981491,69.735951,0"
US Air Force Base,Oliktok LRRS,"-149.887848,70.498095,0"
US Air Force Base,Barter Island DEW Station,"-143.633,70.133,0"
US Air Force Base,Wainwright SRRS,"-159.866667,70.609444,0"
